n,p,t,
10,0.2,9.8340511322,35.5937
21,0.2,24.1661071777,36.09
46,0.2,29.0238857269,36.29
100,0.2,53.9660453796,36.89
215,0.0928317766723,95.6220626831,37.82
464,0.0430886938006,237.158060074,40.55
1000,0.02,382.384061813,44.67
2154,0.00928317766723,770.676136017,46.1
4641,0.00430886938006,1700.04487038,51.44
10000,0.002,4912.56904602,63.01
21544,0.000928317766723,12071.5050697,85.23
46415,0.000430886938006,25500.2088547,135
100000,0.0002,110956.126928,240.4
215443,9.28317766723E-05,93407.0570469,376.2
464158,4.30886938006E-05,213918.536186,612.8